,FECHA (YYMMDD),HORA (HHMM),Porcentaje,Registros validados,Temperatura (°C)
16225,181209,1800,50.222,4.0,15.7801
16226,181209,1900,56.7061,4.0,14.6651
16227,181209,2000,65.4946,4.0,13.4525
16228,181209,2100,72.901,4.0,12.3408
16229,181209,2200,77.1143,4.0,11.7625
16230,181209,2300,80.9608,4.0,11.435
16231,181210,0,83.0035,7.0,11.1871
16232,181210,100,83.4202,7.0,10.7604
16233,181210,200,82.6616,7.0,10.3037
16234,181210,300,79.3448,7.0,10.1079
16235,181210,400,77.7556,7.0,10.0737
16236,181210,500,69.423,7.0,10.6829
16237,181210,600,52.2931,7.0,11.9987
16238,181210,700,45.2488,7.0,13.0236
16239,181210,800,42.1971,7.0,13.3561
16240,181210,900,41.7861,7.0,14.0336
16241,181210,1000,40.5325,7.0,15.136
16242,181210,1100,38.4407,7.0,15.4127
16243,181210,1200,35.7489,7.0,15.7585
16244,181210,1300,34.298,7.0,15.9743
16245,181210,1400,32.6063,7.0,16.661
16246,181210,1500,33.8804,7.0,15.8301
16247,181210,1600,34.8761,7.0,15.3034
16248,181210,1700,37.2794,7.0,14.7692
16249,181210,1800,39.4534,7.0,14.4825
16250,181210,1900,40.7883,7.0,14.0383
16251,181210,2000,45.6461,7.0,12.6722
16252,181210,2100,48.0751,7.0,11.7237
16253,181210,2200,46.4075,7.0,11.6137
16254,181210,2300,54.6274,7.0,10.6862
16255,181211,0,71.7849,7.0,8.9279
16256,181211,100,72.6572,7.0,8.27956
16257,181211,200,73.7638,7.0,8.09512
16258,181211,300,72.9429,7.0,8.05577
16259,181211,400,80.566,7.0,7.50467
16260,181211,500,87.2025,7.0,6.95066
16261,181211,600,83.7858,7.0,7.53282
16262,181211,700,80.849,7.0,8.28154
16263,181211,800,74.7289,7.0,9.90027
16264,181211,900,65.2429,7.0,11.516
16265,181211,1000,64.5402,7.0,11.4068
16266,181211,1100,62.5862,7.0,11.7084
16267,181211,1200,52.6069,7.0,13.2718
16268,181211,1300,51.0394,7.0,13.6001
16269,181211,1400,46.7119,7.0,13.8967
16270,181211,1600,44.9299,7.0,13.8131
16271,181211,1700,48.517,7.0,12.6788
16272,181211,1800,52.5952,7.0,12.0663
16273,181211,1900,50.3076,7.0,11.3862
16274,181211,2000,61.44,7.0,9.59959
16275,181211,2100,59.1841,7.0,9.38625
16276,181211,2200,62.3541,7.0,8.78957
16277,181211,2300,58.5916,7.0,8.70038
16278,181212,0,56.2823,7.0,8.51996
16279,181212,100,61.1939,7.0,7.76167
16280,181212,200,62.1506,7.0,7.55742
16281,181212,300,63.3255,7.0,7.53983
16282,181212,400,63.0195,7.0,7.48365
16283,181212,500,65.0206,7.0,7.32673
16284,181212,600,63.707,7.0,7.81297
16285,181212,700,57.4144,7.0,9.15858
16286,181212,800,56.4893,7.0,9.83107
16287,181212,900,52.2623,7.0,11.2209
16288,181212,1000,50.0377,7.0,12.3208
16289,181212,1100,48.3375,7.0,12.5158
16290,181212,1200,43.2963,7.0,13.6986
16291,181212,1300,42.1946,7.0,14.232
16292,181212,1400,45.5837,7.0,13.5261
16293,181212,1500,45.277,7.0,14.107
16294,181212,1600,47.8237,7.0,13.8911
16295,181212,1700,47.8884,7.0,13.421
16296,181212,1800,48.1825,7.0,12.8944
16297,181212,1900,51.025,7.0,12.0402
16298,181212,2000,54.8831,7.0,11.0018
16299,181212,2100,59.4231,7.0,10.0885
16300,181212,2200,65.4794,7.0,9.22098
16301,181212,2300,68.551,7.0,8.79762
16302,181213,0,70.5117,10.0,8.41428
16303,181213,100,72.7839,10.0,8.03641
16304,181213,200,75.1047,10.0,7.65146
16305,181213,300,76.8822,10.0,7.32511
16306,181213,400,76.7628,10.0,7.1917
16307,181213,500,78.3994,10.0,6.6861
16308,181213,600,79.4951,10.0,6.84143
16309,181213,700,73.9492,10.0,8.07117
16310,181213,800,64.8981,10.0,9.88538
16311,181213,900,60.7173,10.0,11.1696
16312,181213,1000,55.8593,10.0,12.387
16313,181213,1100,52.0236,10.0,13.3086
16314,181213,1200,46.9151,10.0,14.4585
16315,181213,1300,43.1367,10.0,15.1885
16316,181213,1400,41.6491,10.0,15.6594
16317,181213,1500,44.5891,10.0,15.0369
16318,181213,1600,45.7157,10.0,15.1777
16319,181213,1700,49.0448,10.0,14.741
16320,181213,1800,50.478,10.0,14.2868
16321,181213,1900,53.7605,10.0,13.0818
16322,181213,2000,62.5746,10.0,11.6059
16323,181213,2100,71.7474,10.0,10.0976
16324,181213,2200,70.1523,10.0,9.55258
16325,181213,2300,72.1222,10.0,8.9659
16326,181214,0,71.4896,9.0,8.71504
16327,181214,100,74.1553,9.0,8.39003
16328,181214,200,75.986,9.0,8.05168
16329,181214,300,76.1616,9.0,7.66883
16330,181214,400,75.6625,9.0,7.14288
16331,181214,500,75.354,9.0,6.80945
16332,181214,600,67.9064,9.0,7.98177
16333,181214,700,66.5321,9.0,8.38254
16334,181214,800,64.4512,9.0,8.86536
16335,181214,900,55.0271,9.0,10.457
16336,181214,1000,49.7459,9.0,11.1894
16337,181214,1100,37.6116,9.0,12.1444
16338,181214,1200,36.2199,9.0,12.4319
16339,181214,1300,35.009,9.0,12.8244
16340,181214,1400,34.9623,9.0,13.9618
16341,181214,1500,39.3746,9.0,12.9434
16342,181214,1600,38.9796,9.0,13.2618
16343,181214,1700,42.2179,9.0,12.1551
16344,181214,1800,45.2552,9.0,11.2609
16345,181214,1900,52.9935,9.0,10.3343
16346,181214,2000,55.161,9.0,9.52422
16347,181214,2100,58.1526,9.0,9.04753
16348,181214,2200,59.7809,9.0,8.92584
16349,181214,2300,60.3008,9.0,8.90668
16350,181215,0,57.1833,6.0,9.36707
16351,181215,100,58.0223,6.0,9.43123
16352,181215,200,58.2023,6.0,9.51204
16353,181215,300,58.6922,6.0,9.53203
16354,181215,400,59.3813,6.0,9.61116
16355,181215,500,58.9895,6.0,9.9053
16356,181215,600,60.5962,6.0,10.0353
16357,181215,700,61.3594,6.0,10.4003
16358,181215,800,60.5036,6.0,10.9145
16359,181215,900,59.7009,6.0,11.8577
16360,181215,1000,53.9598,6.0,13.9576
16361,181215,1100,52.5905,6.0,14.9018
16362,181215,1200,54.0012,6.0,14.4059
16363,181215,1300,56.3087,6.0,14.0576
16364,181215,1400,58.822,6.0,14.1159
16365,181215,1500,60.8403,6.0,14.0943
16366,181215,1600,61.9544,6.0,14.0676
16367,181215,1700,62.2034,6.0,14.0783
16368,181215,1800,66.0751,6.0,13.4125
16369,181215,1900,66.7133,6.0,13.1867
16370,181215,2000,61.3915,6.0,13.5737
16371,181215,2100,58.0706,6.0,13.8279
16372,181215,2200,54.6096,6.0,14.087
16373,181215,2300,56.8705,6.0,13.8495
16374,181216,0,53.7779,8.0,14.0128
16375,181216,100,59.582,8.0,13.2503
16376,181216,200,64.8505,8.0,12.1053
16377,181216,300,67.397,8.0,11.3302
16378,181216,400,72.1936,8.0,10.4477
16379,181216,500,70.5851,8.0,10.0377
